file,values
00432.txt,"[""'investigate""]"
00237.txt,"[""'trap"", ""'investigate"", ""'investigations"", ""'security"", ""'target""]"
02533.txt,"[""'strategy""]"
01613.txt,"[""'satellite""]"
01630.txt,"[""'die"", ""'military"", ""'murder"", ""'security""]"
00346.txt,"[""'conspiracy"", ""'satellite"", ""'strategy""]"
03013.txt,"[""'escape""]"
00122.txt,"[""'dead"", ""'hostile""]"
04274.txt,"[""'death""]"
00979.txt,"[""'carnage""]"
02451.txt,"[""'attack"", ""'militant""]"
03051.txt,"[""'guns"", ""'guns""]"
00004.txt,"[""'die"", ""'target""]"
04090.txt,"[""'chaos""]"
01030.txt,"[""'deadly"", ""'escape"", ""'explosion""]"
03439.txt,"[""'disaster""]"
02303.txt,"[""'dead"", ""'land"", ""'secret"", ""'treachery"", ""'war""]"
01133.txt,"[""'warfare""]"
01130.txt,"[""'military"", ""'war""]"
03996.txt,"[""'strategy""]"
03198.txt,"[""'attack"", ""'fight""]"
01621.txt,"[""'satellite""]"
04016.txt,"[""'military"", ""'security""]"
02369.txt,"[""'target""]"
03809.txt,"[""'disease"", ""'radical""]"
02092.txt,"[""'military""]"
04464.txt,"[""'disaster"", ""'murder"", ""'target""]"
01573.txt,"[""'explode"", ""'fight"", ""'strategy""]"
02934.txt,"[""'land""]"
04229.txt,"[""'disaster"", ""'security""]"
04301.txt,"[""'land""]"
03819.txt,"[""'land"", ""'target""]"
00867.txt,"[""'fight""]"
03909.txt,"[""'strategy""]"
00498.txt,"[""'assault"", ""'strategy""]"
00938.txt,"[""'flee""]"
01301.txt,"[""'mines"", ""'mines""]"
02063.txt,"[""'death"", ""'disaster"", ""'fatal"", ""'strategy"", ""'terrorism""]"
00897.txt,"[""'land"", ""'machine""]"
00844.txt,"[""'die"", ""'land"", ""'mayhem"", ""'war""]"
02489.txt,"[""'land"", ""'mission""]"
04181.txt,"[""'annihilate"", ""'attack"", ""'destruction"", ""'kill"", ""'military"", ""'missile"", ""'rocket"", ""'secret"", ""'security"", ""'strategic"", ""'submarine"", ""'target"", ""'threat"", ""'threaten"", ""'war"", ""'warheads"", ""'weapon"", ""'weapons""]"
02974.txt,"[""'attack"", ""'fight"", ""'strategist"", ""'strategy"", ""'target""]"
00479.txt,"[""'destroy"", ""'military"", ""'security""]"
00791.txt,"[""'seize"", ""'satellite"", ""'strategic"", ""'threat"", ""'threaten""]"
00949.txt,"[""'attack"", ""'military"", ""'missile""]"
00395.txt,"[""'explosion"", ""'mission""]"
02772.txt,"[""'suffering""]"
03762.txt,"[""'land""]"
00883.txt,"[""'capture""]"
02732.txt,"[""'security"", ""'threaten""]"
00422.txt,"[""'war""]"
01648.txt,"[""'injuries""]"
03019.txt,"[""'land""]"
03726.txt,"[""'strategy"", ""'threaten""]"
03701.txt,"[""'coalition"", ""'dead"", ""'death"", ""'threat""]"
03137.txt,"[""'die"", ""'military"", ""'murder"", ""'security""]"
01862.txt,"[""'escape"", ""'tactics""]"
01235.txt,"[""'disease""]"
01391.txt,"[""'explosion"", ""'threat""]"
03868.txt,"[""'coalition""]"
02003.txt,"[""'rebellion""]"
03236.txt,"[""'strategist""]"
01583.txt,"[""'mines"", ""'mines""]"
04136.txt,"[""'land""]"
00600.txt,"[""'die"", ""'escape""]"
01381.txt,"[""'attack"", ""'fight"", ""'strategist"", ""'strategy"", ""'target""]"
02813.txt,"[""'strategy""]"
00531.txt,"[""'attack"", ""'satellite"", ""'strategic""]"
00233.txt,"[""'coalition"", ""'dead"", ""'invasion"", ""'military"", ""'missile"", ""'mission"", ""'strategic""]"
00096.txt,"[""'bomb"", ""'hijacker"", ""'surrender""]"
02572.txt,"[""'assault"", ""'death"", ""'die"", ""'disease"", ""'fight"", ""'injuries"", ""'kill"", ""'war"", ""'weapons""]"
00898.txt,"[""'land""]"
01229.txt,"[""'suspect"", ""'war""]"
01824.txt,"[""'capture"", ""'suffering""]"
03363.txt,"[""'brutality"", ""'chaos"", ""'destroy"", ""'die"", ""'fight"", ""'murder"", ""'violence"", ""'war""]"
03905.txt,"[""'target""]"
02636.txt,"[""'mines"", ""'mines""]"
01239.txt,"[""'conspiracy"", ""'death"", ""'warfare"", ""'military"", ""'secrecy"", ""'secret"", ""'tactics"", ""'war""]"
00725.txt,"[""'strategy""]"
01291.txt,"[""'security"", ""'strategy"", ""'tank""]"
00487.txt,"[""'target""]"
00624.txt,"[""'conspiracy""]"
02405.txt,"[""'fight""]"
03785.txt,"[""'attack"", ""'bomb"", ""'disaster"", ""'explode"", ""'explosion"", ""'investigations"", ""'military"", ""'missile"", ""'security"", ""'terrorism"", ""'terrorist"", ""'wreckage""]"
00284.txt,"[""'war""]"
00762.txt,"[""'attack"", ""'strategic""]"
00314.txt,"[""'destroy"", ""'execution""]"
03740.txt,"[""'carnage""]"
01715.txt,"[""'strategist"", ""'vitriol""]"
02501.txt,"[""'machine""]"
04467.txt,"[""'surrender""]"
02924.txt,"[""'target""]"
03976.txt,"[""'investigations"", ""'land"", ""'suspect""]"
01412.txt,"[""'destruction"", ""'guns"", ""'land"", ""'guns"", ""'tank""]"
00551.txt,"[""'casualties"", ""'invasion"", ""'military"", ""'outbreak"", ""'rebel"", ""'rebellion"", ""'reconnaissance"", ""'security"", ""'target""]"
00648.txt,"[""'strategic""]"
02618.txt,"[""'satellite""]"
00155.txt,"[""'injuries""]"
04198.txt,"[""'suffering"", ""'target""]"
02238.txt,"[""'strategy""]"
04112.txt,"[""'seize""]"
02897.txt,"[""'attack"", ""'death"", ""'military""]"
00449.txt,"[""'mines"", ""'mines""]"
00545.txt,"[""'radical"", ""'violence""]"
03231.txt,"[""'attack"", ""'bomb"", ""'chaos"", ""'detonate"", ""'military"", ""'radiation"", ""'reconnaissance"", ""'target"", ""'terrorist"", ""'weapons""]"
00902.txt,"[""'war""]"
03383.txt,"[""'fight""]"
02894.txt,"[""'assault"", ""'attack"", ""'kill""]"
03119.txt,"[""'war""]"
01215.txt,"[""'notorious""]"
00497.txt,"[""'suspect"", ""'vicious""]"
03583.txt,"[""'fight"", ""'strategist""]"
03537.txt,"[""'strategy""]"
00305.txt,"[""'strategist""]"
02869.txt,"[""'security"", ""'violence""]"
01408.txt,"[""'breach""]"
02936.txt,"[""'conspiracy"", ""'disease"", ""'fight"", ""'strategy""]"
01946.txt,"[""'bomb"", ""'bombs"", ""'security"", ""'surrender"", ""'terrorism""]"
03505.txt,"[""'secret""]"
04264.txt,"[""'target""]"
02286.txt,"[""'dead"", ""'die"", ""'investigate"", ""'machine"", ""'military"", ""'strategy""]"
00816.txt,"[""'deadly"", ""'military"", ""'mission""]"
01252.txt,"[""'fight"", ""'rocket""]"
03066.txt,"[""'missile"", ""'war"", ""'weapons""]"
02805.txt,"[""'retribution"", ""'strategy""]"
00274.txt,"[""'bomb"", ""'violence""]"
02521.txt,"[""'destruction"", ""'guns"", ""'hostility"", ""'guns"", ""'military"", ""'mortars"", ""'radiation"", ""'reconnaissance"", ""'secret"", ""'security"", ""'strategic"", ""'terrorism"", ""'terrorist"", ""'threat"", ""'weapon"", ""'weapons""]"
02153.txt,"[""'mines"", ""'mines""]"
01528.txt,"[""'coalition"", ""'fight"", ""'strategic""]"
02065.txt,"[""'strategic""]"
00493.txt,"[""'strategy""]"
01340.txt,"[""'disease""]"
01572.txt,"[""'terrorism""]"
03016.txt,"[""'secret""]"
00812.txt,"[""'fight"", ""'satellite""]"
04281.txt,"[""'investigate""]"
03845.txt,"[""'attack"", ""'bomb"", ""'destroy"", ""'explode"", ""'explosion"", ""'explosive"", ""'missile"", ""'rocket"", ""'target"", ""'wreckage""]"
03779.txt,"[""'strategist""]"
00900.txt,"[""'investigations""]"
00426.txt,"[""'target""]"
03867.txt,"[""'satellite""]"
00125.txt,"[""'attack"", ""'military"", ""'missile"", ""'security""]"
02859.txt,"[""'death"", ""'die"", ""'evacuate"", ""'rebel"", ""'threat"", ""'threaten""]"
01798.txt,"[""'coalition"", ""'execute"", ""'fight"", ""'military"", ""'radical"", ""'strategy"", ""'tank""]"
02698.txt,"[""'secret"", ""'suffering""]"
00671.txt,"[""'land""]"
