file,values
01087.txt,"[""'attack"", ""'coalition"", ""'military"", ""'security"", ""'strategist"", ""'target"", ""'war""]"
01194.txt,"[""'attack"", ""'bombardment"", ""'military"", ""'rebel"", ""'security"", ""'war""]"
03557.txt,"[""'attack"", ""'warfare"", ""'military"", ""'militia"", ""'mission"", ""'security"", ""'threat"", ""'violence"", ""'weapons""]"
02346.txt,"[""'attack"", ""'guns"", ""'guns"", ""'murder"", ""'suffering"", ""'vicious"", ""'violence"", ""'weapons""]"
00109.txt,"[""'death"", ""'military"", ""'rebel"", ""'security"", ""'tank"", ""'war""]"
04451.txt,"[""'attack"", ""'carnage"", ""'chaos"", ""'death"", ""'bombs"", ""'military"", ""'mission"", ""'security"", ""'war""]"
01054.txt,"[""'captive"", ""'guns"", ""'hijack"", ""'guns"", ""'military"", ""'security"", ""'terrorist""]"
01976.txt,"[""'attack"", ""'bomb"", ""'disaster"", ""'explode"", ""'explosion"", ""'investigations"", ""'military"", ""'missile"", ""'security"", ""'terrorism"", ""'terrorist"", ""'wreckage""]"
03687.txt,"[""'guns"", ""'invasion"", ""'guns"", ""'military"", ""'strategic"", ""'terrorism"", ""'terrorist"", ""'violence"", ""'war""]"
03817.txt,"[""'attack"", ""'bomb"", ""'flee"", ""'interrogation"", ""'militant"", ""'military"", ""'overthrow"", ""'secret"", ""'security"", ""'suspect""]"
03542.txt,"[""'escape"", ""'machine"", ""'mayhem"", ""'strategy"", ""'tank""]"
04188.txt,"[""'fight"", ""'kill"", ""'tactics"", ""'threat"", ""'violence""]"
03845.txt,"[""'attack"", ""'bomb"", ""'destroy"", ""'explode"", ""'explosion"", ""'explosive"", ""'missile"", ""'rocket"", ""'target"", ""'wreckage""]"
02463.txt,"[""'attack"", ""'death"", ""'guns"", ""'machine"", ""'guns"", ""'war""]"
02604.txt,"[""'explode"", ""'fight"", ""'military"", ""'strategist"", ""'strategy"", ""'war""]"
02959.txt,"[""'dead"", ""'death"", ""'land"", ""'military"", ""'rebellion"", ""'violence""]"
00490.txt,"[""'destroy"", ""'disastrous"", ""'explosive"", ""'retaliation"", ""'threat""]"
03632.txt,"[""'assault"", ""'disastrous"", ""'fight"", ""'guns"", ""'guns"", ""'weapon"", ""'weapons""]"
01236.txt,"[""'ambush"", ""'death"", ""'guns"", ""'invasion"", ""'guns"", ""'militant"", ""'military"", ""'secret""]"
01275.txt,"[""'defiant"", ""'disastrous"", ""'land"", ""'radical"", ""'sabotage"", ""'seize"", ""'satellite""]"
02859.txt,"[""'death"", ""'die"", ""'evacuate"", ""'rebel"", ""'threat"", ""'threaten""]"
01798.txt,"[""'coalition"", ""'execute"", ""'fight"", ""'military"", ""'radical"", ""'strategy"", ""'tank""]"
03410.txt,"[""'assault"", ""'deadly"", ""'death"", ""'die"", ""'explode"", ""'fight"", ""'guns"", ""'land"", ""'guns"", ""'strategy"", ""'weapons""]"
01503.txt,"[""'fighter"", ""'land"", ""'military"", ""'rebellion"", ""'retaliation"", ""'security"", ""'war""]"
02145.txt,"[""'attack"", ""'coalition"", ""'invasion"", ""'military"", ""'retaliation"", ""'security"", ""'slaughter"", ""'threat"", ""'war""]"
02005.txt,"[""'coalition"", ""'fight"", ""'land"", ""'military"", ""'tragic"", ""'war""]"
00505.txt,"[""'conspiracy"", ""'military"", ""'radical"", ""'tank"", ""'threat""]"
02687.txt,"[""'carnage"", ""'security"", ""'strategist"", ""'suspect"", ""'wreckage""]"
01610.txt,"[""'military"", ""'security"", ""'strategic"", ""'war"", ""'weapons""]"
02161.txt,"[""'attack"", ""'disease"", ""'security"", ""'strategic"", ""'strategy"", ""'suffering""]"
04169.txt,"[""'assault"", ""'capture"", ""'guns"", ""'investigate"", ""'machine"", ""'guns"", ""'strategy"", ""'tactics""]"
02383.txt,"[""'attack"", ""'conspire"", ""'death"", ""'escape"", ""'injuries"", ""'terror""]"
03227.txt,"[""'capture"", ""'fight"", ""'germ"", ""'security"", ""'vociferous"", ""'war""]"
00142.txt,"[""'land"", ""'mission"", ""'retribution"", ""'surrender"", ""'tank"", ""'war""]"
02303.txt,"[""'dead"", ""'land"", ""'secret"", ""'treachery"", ""'war""]"
01853.txt,"[""'fight"", ""'security"", ""'strategist"", ""'war"", ""'weapons""]"
02317.txt,"[""'assault"", ""'attack"", ""'brutality"", ""'military"", ""'missile"", ""'retaliation"", ""'terror"", ""'violence"", ""'war""]"
03781.txt,"[""'dead"", ""'death"", ""'investigate"", ""'investigations"", ""'target""]"
01504.txt,"[""'assault"", ""'attack"", ""'coalition"", ""'dead"", ""'death"", ""'devastation"", ""'disaster"", ""'fight"", ""'fighter"", ""'guided"", ""'guns"", ""'land"", ""'guns"", ""'military"", ""'missile"", ""'security"", ""'surrender"", ""'terrorist"", ""'threaten"", ""'war""]"
00782.txt,"[""'casualties"", ""'military"", ""'mission"", ""'rebel"", ""'security"", ""'violence"", ""'war""]"
00259.txt,"[""'guns"", ""'horrific"", ""'guns"", ""'mayhem"", ""'murder"", ""'surrender"", ""'violence"", ""'weapon"", ""'weapons""]"
04432.txt,"[""'attack"", ""'death"", ""'machine"", ""'suspect"", ""'tactics""]"
03703.txt,"[""'attack"", ""'coalition"", ""'fight"", ""'hostility"", ""'informant""]"
02060.txt,"[""'chaos"", ""'disaster"", ""'security"", ""'strategy"", ""'war""]"
